화장실명,소재지도로명주소,비상벨설치여부,개방시간상세,male,female,lat,lon
상록근린공원,경기도 의정부시 호국로 1562 (금오동),Y,00:00~00:00,1,1,37.7537958,127.0746033
행복나눔 목공소(귀락문화공원),경기도 의정부시 민락로560번길 74 (자일동),Y,00:00~00:00,1,1,37.77031059999999,127.1191686
직동근린공원(세무서 뒤),경기도 의정부시 호국로1162번길 73 (의정부동),Y,00:00~00:00,1,1,37.7398033,127.0316001
경기북부병무지청 병역판정검사동 1층,"경기도 의정부시 전좌로 76 (호원동, 경기도북부병무지청)",N,09:00~18:00,0,1,37.7161656,127.0430338
경기북부병무지청 병역판정검사동 지하,"경기도 의정부시 전좌로 76 (호원동, 경기도북부병무지청)",N,09:00~18:00,0,1,37.7161656,127.0430338
경기북부병무지청 본관동 1층,"경기도 의정부시 전좌로 76 (호원동, 경기도북부병무지청)",N,09:00~18:00,0,1,37.7161656,127.0430338
경기북부보훈지청 1층(남자화장실),"경기도 의정부시 평화로 589 (의정부동, 의정부보훈지청)",N,09:00~18:00,0,1,37.744426,127.0458679
중부지방고용노동청의정부지청 2층,"경기도 의정부시 충의로 143 (용현동, 중부지방고용노동청의정부지청)",N,09:00~18:00,1,1,37.7442125,127.0842116
중부지방고용노동청의정부지청 3층,"경기도 의정부시 충의로 143 (용현동, 중부지방고용노동청의정부지청)",N,09:00~18:00,1,1,37.7442125,127.0842116
금오119안전센터,"경기도 의정부시 호국로 1434-14 (금오동, 파발119안전센터)",N,00:00~00:00,1,1,37.7493149,127.0612936
금오지구대,"경기도 의정부시 추동로108번길 1 (신곡동, 금오지구대)",N,00:00~00:00,1,1,37.7475903,127.0663992
송산지구대,"경기도 의정부시 용민로 119 (민락동, 송산지구대)",N,00:00~00:00,1,1,37.74002490000001,127.0901847
의정부경찰서 별관1층,"경기도 의정부시 호국로 1265 (의정부동, 의정부경찰서)",N,00:00~00:00,1,1,37.7442985,127.0443079
의정부경찰서 본관1층,"경기도 의정부시 호국로 1265 (의정부동, 의정부경찰서)",N,00:00~00:00,1,1,37.7442985,127.0443079
의정부고용센터,"경기도 의정부시 시민로 49 (가능동, 신동아파라디움)",N,09:00~18:00,1,1,37.7384315,127.0403197
흥선119안전센터,"경기도 의정부시 의정로 48 (의정부동, 의정부소방서및민방위교육장)",N,07:00~00:00,1,1,37.7370009,127.035432
의정부면허시험장 별관 1층,"경기도 의정부시 금오로109번길 55 (금오동, 의정부운전면허시험장)",N,08:30~18:00,1,1,37.7593117,127.077972
가능역,"경기도 의정부시 평화로 633 (가능동, 가능역)",Y,05:00~24:00,1,1,37.748362,127.044251
녹양역,"경기도 의정부시 평화로 757 (녹양동, 녹양역)",Y,00:00~00:00,1,1,37.759416,127.042272
망월사역,"경기도 의정부시 평화로 221 (호원동, 망월사역)",Y,00:00~00:00,1,1,37.710507,127.04738
의정부역,"경기도 의정부시 평화로 525 (의정부동, 의정부민자역사)",Y,00:00~00:00,2,2,37.7387295,127.0458908
양지공원,경기도 의정부시 호국로1346번길 41 (의정부동),Y,00:00~00:00,1,1,37.742638,127.053652
직동근린공원(미도아파트 뒤),경기도 의정부시 호원동 산14-11,Y,00:00~00:00,1,1,37.7241061,127.039454
해동Ⅱ타워,"경기도 의정부시 천보로 56(민락동,해동Ⅱ타워)",N,00:00~00:00,1,1,37.744875,127.0952581
의정부농협 가능지점,"경기도 의정부시 가능로 66 (가능동, 의정부농협가능지점)",N,00:00~00:00,1,1,37.7510872,127.0374994
센트럴타워,"경기도 의정부시 시민로 80 (의정부동, 센트럴타워)",N,00:00~00:00,1,1,37.7380334,127.0435891
민락셀프주유소,경기도 의정부시 충의로 91 (용현동),N,00:00~00:00,1,1,37.7398295,127.0859374
가평군청 (1층 A-B),경기도 가평군 가평읍 석봉로 181,Y,운영시간내,1,1,37.8313642,127.509707
가평군청 (1층 B-C),경기도 가평군 가평읍 석봉로 181,Y,운영시간내,1,1,37.8313642,127.509707
가평군청 (1층 C-D),경기도 가평군 가평읍 석봉로 181,Y,운영시간내,1,1,37.8313642,127.509707
