화장실명,소재지도로명주소,비상벨설치여부,개방시간상세,male,female
가평테니스장,경기도 가평군 가평읍 문화로 131,N,운영시간내,1,0
문화예술회관,경기도 가평군 가평읍 문화로 131,Y,운영시간내,1,1
산장관광지 화장실(3),경기도 가평군 상면 덕현산장길 71,Y,운영시간내,1,1
산장관광지 화장실(2),경기도 가평군 상면 덕현산장길 71,Y,운영시간내,1,1
수상클럽 하우스,경기도 가평군 가평읍 자라섬로 60,N,운영시간내,1,1
희망축구전용구장,경기도 가평군 가평읍 문화로 131,Y,운영시간내,1,1
잣고을시장 창업경제타운,경기도 가평군 가평읍 장터2길 12,Y,08:00 ~ 22:00,3,3
연인산다목적캠핑장,경기도 가평군 북면 백둔로 441,Y,24시간,1,1
자라섬캠핑장 안내소,경기도 가평군 가평읍 자라섬로 60,N,24시간,0,1
수택1동 행정복지센터,경기도 구리시 검배로 93번길 35,N,(평일)09:00~18:00,1,0
주민편익시설 화장실,경기도 구리시 왕숙천로 49,N,17시간,1,1
가평경찰서 민원화장실,경기도 가평군 청평면 경춘로 1401,N,운영시간내,1,1
가평우체국 1층,경기도 가평군 가평읍 보납로 2,N,09:00∼18:00,1,1
가평조종우체국 1층,경기도 가평군 조종면 현창로 31,N,09:00∼18:00,0,1
대성리,경기도 가평군 청평면 경춘로 88,Y,영업시간내,1,1
청평,경기도 가평군 청평면 청평역로 97-33,Y,영업시간내,1,1
상천,경기도 가평군 청평면 상천역로 2,Y,영업시간내,1,1
가평,경기도 가평군 가평읍 문화로 13-42,Y,영업시간내,1,1
국립농산물품질관리원 경기지원 가평사무소 1층,경기도 가평군 가평읍 석봉로 200-21,N,09:00∼18:00,1,1
춘천국유림관리소 청평경영팀,경기도 가평군 청평면 청평중앙로80,N,09:00∼18:00,0,1
국립유명산자연휴양림 관리사무소 1층 공중화장실,경기도 가평군 설악면 유명산길 79-53,N,09:00∼22:00,1,1
국립유명산자연휴양림 분리수거장 옆 공중화장실,경기도 가평군 설악면 유명산길 79-53,N,00:00~00:00,0,1
국립유명산자연휴양림 3야영장 공중화장실,경기도 가평군 설악면 유명산길 79-53,N,00:00~00:00,1,1
국립유명산자연휴양림 자생식물원 공중화장실,경기도 가평군 설악면 유명산길 79-53,N,00:00~00:00,1,1
국립유명산자연휴양림 산림복합체험센터 1층,경기도 가평군 설악면 유명산길 79-53,N,09:00∼22:00,1,1
잣향기푸른숲 매표소,경기도 가평군 상면 축령로 289-146,Y,09:00∼18:00,1,1
구리농수산물도매시장,경기도 구리시 동구릉로136번길 90,Y,24시간,2,2
구리(퇴계원)B/S 화장실,경기도 구리시 수도권제1순환고속도로 28,Y,24시간,1,1
구리(일산)휴게소,경기도 구리시 수도권제1순환고속도로 32,Y,24시간,1,1
구리세무서,경기도 구리시 안골로 36,N,09~18시,1,1
구리경찰서,경기도 구리시 아차산로 359,Y,24시간,1,1
교문1동행정복지센터화장실,경기도 구리시 경춘로 111,N,9시~18시,0,1
인창동 철도부지 체육공원 화장실(족구장 인근),경기도 구리시 응달말로40번길,Y,24시간,1,1
인창동 철도부지 체육공원 화장실(게이트볼장 인근),경기도 구리시 응달말로40번길,N,24시간,1,1
수택2동행정복지센터,경기도 구리시 원수택로12번길 16,N,09:00~18:00,2,2
교문2동 행정복지센터 화장실,경기도 구리시 장자대로 34,N,9시간,1,1
구리시장애인종합복지관,경기도 구리시 이문안로86-1,Y,9시간,5,5
구리역사 화장실(2층),경기도 구리시 건원대로34번길 32-29,Y,04:30~24:00,1,1
갈매역사 화장실(1층),경기도 구리시 경춘북로 229,Y,05:00~24:00,1,1
인창중앙공원(솟을마당),경기도 구리시 동구릉로66번길 29(인창동),Y,00:00~24:00,1,1
인창중앙공원(관리사무실),경기도 구리시 동구릉로66번길 29(인창동),Y,24시간,1,1
갈매중앙공원,경기도 구리시 산마루로 41(갈매동),Y,24시간,1,1
잣향기푸른숲 축령백림관,경기도 가평군 상면 축령로 289-146,N,09:00∼18:00,1,1
잣향기푸른숲 유아숲체험원,경기도 가평군 상면 축령로 289-146,N,09:00∼18:00,1,1
강씨봉자연휴양림 공중화장실,경기도 가평군 북면 논남기길 520,N,유료 입장후 상시,1,1
연인산도립공원 관리사무소 및 탐방안내소,경기도 가평군 가평읍 용추로 229-41,N,09:00-18:00,1,1
연인산도립공원 시설지구 내 주차장,경기도 가평군 가평읍 용추로 229-41,N,00:00~00:00,1,1
중산리(탁영뢰),경기도 가평군 가평읍 용추로 573,N,00:00~00:00,1,1
일사대,경기도 가평군 가평읍 용추로 645,N,00:00~00:00,1,1
백둔리 주차장,경기도 가평군 북면 백둔리 807,N,00:00~00:00,1,1
인창동행정복지센터,"경기도 구리시 동구릉로53번길 4, 2층",N,(평일)09:00~18:00,1,0
도당공원,경기도 구리시 갈매순환로 64(갈매동),Y,24시간,1,1
동구하늘공원,경기도 구리시 건원대로76번길 127(인창동),Y,24시간,1,1
늘푸른공원,경기도 구리시 건원대로34번길 34(인창동),Y,24시간,1,1
토평공원,경기도 구리시 벌말로 130-29(토평동),Y,24시간,1,1
아름마을공원,경기도 구리시 동구릉로53번길 147(인창동),Y,24시간,1,1
부양공원,경기도 구리시 체육관로74번길 62(수택동),Y,24시간,1,1
검배공원,경기도 구리시 수택천로35번길,Y,24시간,1,1
갈매수질복원센터,경기도 구리시 갈매중앙로 206,N,24시간,1,1
장자호수생태공원,경기도 구리시 토평동 878,Y,24시간,2,1
장자호수생태공원,경기도 구리시 장자호수길 76-42,Y,24시간,1,1
장자호수생태공원,경기도 구리시 장자공원길 13,Y,24시간,1,1
왕숙천둔치공원(관리사무실),경기도 구리시 수택동 48-57 등,N,24시간,1,1
왕숙천둔치공원(무대광장),경기도 구리시 수택동 48-57 등,N,24시간,1,1
한강시민공원(관리사무실),경기도 구리시 코스모스길 14번길 249,Y,24시간,1,1
한강시민공원(등수국터널 1),경기도 구리시 코스모스길 14번길 249,Y,24시간,1,1
한강시민공원(등수국터널 2),경기도 구리시 코스모스길 14번길 249,Y,24시간,0,1
한강시민공원(자연학습장),경기도 구리시 코스모스길 14번길 249,Y,24시간,1,1
동구동행정복지센터,경기도 구리시 동구릉로136번길 57,N,06:00~23:00,1,1
구리시청,"경기도 구리시 아차산로 439, 본관 1층 2층",N,24시간,1,1
구리시청 별관,"경기도 구리시 아차산로 439, 별관 1층",N,(평일)09:00~18:00,1,1
인창문화센터,경기도 구리시 동구릉로53번길 34,N,(평일)09:00~23:00,1,1
장자호수생태체험관(1층),경기도 구리시장자호수길 76번길42,Y,24시간,1,1
토평정수장 화장실,경기도 구리시 벌말로 40,Y,24시간,1,0
시립인창도서관,경기도 구리시 건원대로34번길 90,N,08:00~23:00,5,0
구리시여성행복센터,경기도 구리시 아차산로 453,Y,09:00~18:00,6,10
구리문화재단,경기도 구리시 아차산로453,N,12시간,4,4
